Name,Address,Postcode,Telephone,Email,"Opening hours","More information",Organisation,Activities,Location
"Beyond Adventure","Eilean Riabhach, Alma Avenue, Aberfeldy","PH15 2BW","01887 829 202",email@beyondadventure.co.uk,,,,"Canoeing
Kayaking
Rock Climbing
Abseiling
Gorge Scrambling
Hill Walking
Off Road Cycling","56.616817,-3.874052"
"Blencathra Centre (Field Studies Council)","Threlkeld, Keswick,Cumbria","CA12 4SG","017687 79601",enquiries.bl@field-studies-council.org,,,"Field Studies Council","Day and residential fieldwork
Hillwalking
Mountaineering
Gorge scrambling","54.620404,-3.080209"
"Bonaly Outdoor Centre","71 Bonaly Road","EH13 0PB","0131 441 1878",info@bonaly.org.uk,,,"South East Scotland Regional Scout Council","Instructor-led activities: 
Abseiling, archery, all-terrain boarding, bush craft, blind trail, bouldering, burn dipping, climbing wall, crate stack, geo-caching, grass sledges, high all-aboard, high traverse, Jacob's ladder, leap of faith, low ropes, mini beasts, mohawk walk, mountain biking, orienteering, Pentlands Hills walk, pioneering, slackline, team building, traverse wall, tree climb building.

Self-supervised activities:
Ball pool, beaver lodge, blind trail,
bouldering, burn dipping, earth ball,
games equipment, geo-caching, grass sledges, low ropes, mini-beasts, orienteering, pedal karts, pioneering, team building, mobile climbing wall, slackline, traverse wall.","55.89699857859752,-3.2602274846557293"
"Boots N Paddles","14 Cabrich, Kirkhill,  Inverness","IV5 7PH","0845 612 5567",chris@bootsnpaddles.co.uk,,,,"Abseiling
Archery
Canoeing
Climbing
Gorge walking
Gorge swimming
Hill walking
Nature walks
Mountain biking
Raft building
Team challenges
Weaselling
Sea kayaking
Wow balls (Walk on Water)
Treezone
Aerial assault course 
High ropes 
Segway tours
Coasteering
Sea kayaking","57.453955,-4.430632"
"Brian Salvona, Cycle Training","32 Baberton Mains Loan, Edinburgh","EH14 3EP","0131 442 1082 07849 600 110",Briansalvona@hotmail.com,,,,"On-road cycling skills
Off-road cycle skills
Off-road journeying in non-licensable terrain
Tutor training
coach education training Mountain biking (Group Leadership) Trail Cycle Leader courses Winter Night Riding and Expedition MTB Modules","55.908119,-3.279714"
"Bridge 8 Hub","Calder Crescent, Edinburgh","EH11 4NE","07808 534 028",info@bridge8hub.co.uk,,www.bridge8hub.co.uk,,"Water sports:
Akwakats
Kayaking
Canoeing
Improvised raft building
Fatyaking (sit on tops)
Stand up paddle boarding

Land based:
Archery
Rock climbing tower
Cycling go mountain biking and Bikeability
Team building
Bush craft
Camping
Hill walking
Mountain biking","55.91837049999999,-3.298746299999948"
"Broomlee Centre (Scottish Outdoor Education Centres)","West Linton","EH46 7BU","01968 660 259",info@soec.org.uk,,,"Scottish Outdoor Education Centres","Abseiling
Archery 
Bonfire 
Bridge build
Bush craft
Crate climb 
Environmental games and activities
Expedition gorge walk
Flyng fox 
Gorge scrambling
High and low ropes
Hill walking
Ice breakers 
Inclined log 
Kayaking 
Mohawk walk 
Mountaineering
Open canoeing 
Pole climb 
Problem solving 
Raft building 
Rock climbing 
Ropes course 
School activity weeks
Story telling 
Transition to work programme  
Transition to secondary programme  
Tree climb 
Water sports","55.742286,-3.346284"
"Calvert Trust, Kielder","Kielder Water & Forest Park, Hexham, Northumberland","NE48 1BS","01434 250 232",enquiries@calvert-kielder.com,,,"Calvert Trust","Archery
Orienteering
Zip wire
Outdoor climbing
Abseiling
Golf buggies
Sailing
Canoeing
Motor boating
Team building
Hydrotherapy pool
Sensory room
King swing
Indoor wall 
Low ropes 
High ropes 
Laser clays 
Velcro Olympics 
Climbing","55.164689,-2.531789"
"Calvert Trust, Lake District","Keswick, Little Crosthwaite, Cumbria","CA12 4QD","01768 772 255",enquiries@lakedistrict.calvert-trust.org.uk,,,"Calvert Trust","Climbing
Abseiling
Walking
Orienteering
Sailing
Canoeing
Horse riding
Trap driving
Archery Kayaking Challenge activities
Water centre with hydrotherapy pool and sensory room","54.63818,-3.188395"
"Cardrona Adventure","Cardrona Adventure @ MacDonalds Hotel, Cardrona, Peebleshire, Scottish Borders","EH45 9HX","07796 955341",leeabrahams@hotmail.com,,www.cardronaadventure.com,"Cardrona Adventure","Quad bike trails
Archery
Climbing
Abseiling
Team Games
","55.6396484,-3.113094799999999"
"Climbzone Ltd ","Soar, Intu Braehead, King's Inch Road","PA4 8XQ","08719 11 10 11",reception@climbzone.co.uk,,,"In Extremis","Indoor rock climbing
Sky park
Fan drop","55.879043136923535,-4.371033312828104"
"Coast to Coast Surf School","Station Road, Dunbar","EH42 1JX","07971 990 361",sam@c2csurfschool.com,,"Head office based at 13 High Street, Edinburgh, EH42 1EN for all enquiries.",,"Surfing
Body boarding
Stand up paddling
Coasteering (coastal adventures)","56.000662,-2.513891"
"Colomendy Centre (Kingswood Colomendy Ltd)",Loggerheads,"CH7 5LB","01352 810 381",customerservices@inspiring-learning.com,,,"Kingswood Learning & Leisure Group Ltd","Climbing
Abseiling
High ropes
Zip line
Watersports
Archery
Caving
Orienteering
Team building
ICT
Environmental studies
Fencing
Aeroball","53.192936,-3.082079"
"Compass Christian Centre","Glenshee Lodge, by Blairgowrie","PH10 7QD","01250 885 209",office@compasschristian.co.uk,,,,"Archery
Climbing & abseiling
Crafts
Crate climbing
Climbing room
Gorge walk
Hill walk
Kayak
Moorland walk
Orienteering
Pond dipping
Problem solving
Raft building
Ropes course (low level)
Sense detectives
Skiing
Snowboarding
Tree climb
Environmental studies
Zip wire
Expressive arts 
Fitness trail 
Snow fun
Nightline","56.798416,-3.430462"
"Craggan Outdoor Activities Ltd t/a Craggan Outdoors","Craggan Golf Course, Grantown-on-Spey, Moray PH26 3NT","PH26 3NT","01479 873 283",info@cragganoutdoors.co.uk,,,"Craggan Outdoors","Archery
Art & creativity
Clay pigeon
Climbing & abseiling
Golf
Gorge walking
High ropes
Zip wire
Kayaking
Mountain biking
Paintball
Pony trekking
Raft building
Canoeing
Team build
Yoga 
Mini Highland games 
White water rafting 
Bushcraft","57.31378683555617,-3.627285699444542"
"D C Outdoor Activities","Top Floor Left, 5 Willowbrae Road, Edinburgh","EH8 7DB","07974 748934",duncnuts@blueyonder.co.uk,,,,"Mountain boarding and Outdoor survival (Bush Craft)","55.950596,-3.188513"
"Dalguise Activity Centre","PGL Adventure Dalguise, Dunkeld, Perthshire","PH8 0JX","01350 727 339",adventure.uk@pgl.co.uk,,,"PGL Travel Ltd","Abseiling
Archery
Cat walk
Challenge Course
Climbing
Eco trail
Fencing
First aid
Forest trail  
Giant swing 
Initiative exercises
Problem solving
Jacobs ladders
Mountain biking
Orienteering
Quad biking
Rifle shooting
Sensory trail
Sequoia scramble
Sports and team games
Survivor
Trapeze
Tree climb
Vertical challenge
Zip wire
Kayaking
Raft building","56.607876,-3.644223"
"Deep Blue Scuba","24 West Gorgie Park","EH14 1UT",,info@deepbluescuba.co.uk,,,,"Scuba Diving","55.930746,-3.244121"
"Delta Force Paintball","Haggs Road Wood, Burnwynd, Near Edinburgh","EH27 8ED","0844 477 5115",info@paintballgames.co.uk,,,,Paintball,"55.8993799,-3.387243500000068"
"Dounans Centre (Scottish Outdoor Education Centres)","Aberfoyle,Stirling","FK8 3UT","01877 382 291",info@soec.org.uk,,,"Scottish Outdoor Education Centres","Abseiling
Archery
Bonfire
Bridge build
Bush craft
Canoeing cat walk
Crate climbing
Flying fox
Gorge walk 
High and low ropes
Hill walking
Ice breakers 
Kayaking
Mohwak walk 
Night line 
Night walk 
Orienteering
Pole climbing
Problem solving
Raft building
Rock climbing single pitch expedition 
Ropes course
School activity weeks
Story telling 
Transition to secondary 
Transition to work programme  
Tree climbing 
Water sports","56.180258,-4.373692"
"Drum Riding for the Disabled Edinburgh","Riding School, The Drum, 155 Drum Street","EH17 8RX","0131 664 5803",drumrda@hotmail.co.uk,,,"Riding For The Disabled Association","Horse Riding Horse Care","55.906804,-3.119633"
"Dukeshouse Wood (Kingswood Learning & Leisure Group Ltd)","Kingswood Centre, Fellside","NE46 1TP","01434 602 503","guest.dukeshouse@inspiring-learning.com ",,,"Kingswood Learning & Leisure Group Ltd","3g swing
Abseiling  
Aeroball 
Archery  
Balance beam  
Bushcraft  
Campfire  
Circus skills  
Climbing - Indoor and Outdoor  
Crate stack  
Dance Ejay  
Disco  
Drama  
Drum beat  
Eco trail  
Environmental art  
Fencing  
Field games  
High All Aboard  
High Equilibrium  
Hot spots  
Indoor initiatives  
Jacobs ladder  
Jungle vines  
Junk  
Leap of faith  
Mask making  
Mini Olympics 
Movie blitz  
Nightline  
Orienteering  
Problem solving  
Quad biking  
Scrap heap challenge  
Team challenge  
Team tech  
Trail of mystery  
Zipwire ","54.960298,-2.087845"
"Earth Calling","55 Fair A Far, Cramond","EH4 6BQ","0131 312 6712",info@earthcalling.org,,,,"Environmental Teaching
Environmental 
Workshops
Wildlife Clubs 
Creation wildlife gardens in schools
Teacher Training
High School Student Placements
Volunteers
EXCLUDING CLIMBING WALL","55.972794,-3.307475"
"Edinburgh & Lasswade Riding Centre","Kevock Road, Lasswade, Midlothian","EH18 1HX","0131 663 7676",lasswaderiding@btconnect.com,,,,"Hacking
Trekking
Riding Instruction - private & group 
Stable Management
Riding Courses
Birthday parties 
Common rides 
Gala days","55.880033,-3.126624"
"Edinburgh College","350 West Granton Road","EH5 1QE","0131 559 4437",,,,,"Archery
Trail Cycling/Mountain Biking
Canoeing
Hillwalking
Abseiling
Indoor Climbing
Low Ropes
Kayaking
Rock Climbing
Orienteering
Mountain Boarding
Problem Solving","55.976871,-3.245118"
"Edinburgh Combat Challenge","Lugton Bogs, Lasswade","EH18 1AR","07732 231 220",edinburghcombatchallenge@gmail.com,,,,"Laser gaming in an outdoor woodland environment","55.89683321008424,-3.0984199896576"
"Edinburgh International Climbing Arena (formerly Ratho Adventure Centre)","South Platt Hill, Ratho, Newbridge","EH28 8AA","0131 333 6333",,,,"Edinburgh Leisure","Climbing
Abseiling
Bouldering
Climbing
Rock Climbing (Outdoors) for all ages
Hillwalking  
Aerial Assault  
Mountaineering  
Gorge Walking","55.9231285,-3.397646"
"Epic Ventures","82/13 Harrison Gardens, Edinburgh","EH11 1SB","07929 459 613",info@epic-ventures.com,,www.epic-ventures.com,,"Abseiling
Rock climbing
Camp fire
Canoeing
Coastal traverse (Elie chain walk)
Duke of Edinburgh over night
Fire lighting
Kayaking
Mountain biking
Orienteering
Shelter building
Team building
Transport to and from schools","55.935354,-3.227022"
"Ford Castle ","Beaumont House, 2 Northumberland Avenue, Bishop Auckland, Co Durham","DL14 6AW","01388 741 357",holidays@ford-castle.co.uk,,www.ford-castle.co.uk,"Ford Castle Adventure Ltd ","Archery
Fencing
Knight's quest
Nightline
Low ropes course
Aassault course
Potions class - initiative exercises
Team games
Zip wire
High ropes, including crate stacking 
Postman's walk
Jacob's ladder
High all aboard and leap of faith, excluding climbing","55.6300496,-2.0865464999999404"
"Fordell Firs National Activity Centre","Hillend, Dunfermline, Fife","KY11 7HQ","01383 412 704",,,,"The Scout Association","Abseiling 
Archery  
Bell boating
Boxing gloves
Bungee
Camping skills
Caving
Challenge course
Climbing  
Crate climbing
Didi cars
Fire building
Gladiator duel    
Grass sledges  
Jacob's ladder 
King swing
Low ropes
Orienteering
Pedal go carts
Simulated caving  
Sling shots
Space hoppers 
Sumo suits
Survival skills
Team building
Trampoline
Tree climb
Water Balloon Shot
Zip wire ","56.054864441871096,-3.3774482169189923"
"Foxlake Adventures","Foxlake, Dunbar, East Lothian","EH42 1XF","01620 860 657",info@foxlake.co.uk,,http://www.foxlake.co.uk,,"Ringo rides
Ropes course
Waterski
Wakeboard
Dryland ropes course","55.99139662663647,-2.5886964797973633"
"Galloway Activity Centre","Loch Ken","DG7 3NQ","0155 650 2011",gac@lochken.co.uk,,,,"Stand-up paddle boarding
Sailing  
Windsurfing  
Paddle sport 
Mountain bikes  
Climbing wall  
Orienteering  
Fishing  
Archery  
Team games 
Zip wire 
Leap of faith
Abseiling outdoor 
Laser Quest 
Raft building","55.03719675837644,-4.100712678265381"
"Glasgow Ski and Snowboard Centre","16 Dumbreck Road, Bellahouston Park, Glasgow","G41 5BW","0141 427 4991",info@ski-glasgow.org,,,"Snowsport Scotland","Dry Ski Slope
Ski Lessons
Tubing Parties","55.846849,-4.310548"
"Glencoe Outdoor Centre","Carnoch House, Glencoe, Argyll, PH49 4HS","PH49 4HS","01855 811 350",office@glencoeoutdoorcentre.org.uk,,,"The Glencoe Trust Limited","Archery
Canoeing
Canyoning
Climbing and Abseiling
Hill Walking
Kayaking
Mountain biking
Orienteering 
Sailing
Skiing
Team building","56.682603,-5.100984"
"Go Ape (Aberfoyle)","The Lodge Visitor Centre, Queen Elizabeth Forest Park, Aberfoyle","FK8 3SX","01877 382 637",questions@goape.co.uk,,,,"Our Tree Top Adventure course allows you to harness your inner Tarzan and swing through the trees using a series of rope ladders, bridges and crossings, Tarzan swings and zip wires back to the forest floor. The adventure lasts for around 2.5/3 hours and is suitable for anyone aged 10yrs and over and who is at least 1.4m in height. The maximum weight limit is 20.5st. The adult to child supervision ratio is 1 participating adult for every 2 children aged between 10-15yrs. Children aged between 16-17yrs can go round unsupervised but cannot supervise others. The price is £33 per gorilla (16yrs+) and £25 per baboon (10-15yrs).","56.18251063750834,-4.390057325363159"
"Gulabin Lodge Outdoor Centre","Gulabin Lodge, Spittal of Glenshee, By Blairgowrie","PH10 7QE","01250 885 255",info@gulabinlodge.co.uk,,http://www.gulabinoutdoors.co.uk,,"Alpine skiing
Snowboarding","56.81453715763987,-3.460251870300226"
"Harmeny Outdoors","Harmeny School, Mansfield Road, Edinburgh","EH14 7JY","0131 449 3938",,,,"Harmeny Education Trust","Kayaking in sheltered inland waters  
Open Canoeing in sheltered inland waters  
Rock Climbing on single pitch crags  
Abseiling on single pitch crags  
Off / on Road Cycling
Bike Workshop Activities  
Hill Walking and Mountaineering  
Team Building and Problem Solving Activities  
Archery  
Bushcraft and Survival Skills","55.87721,-3.332921"
"Hebridean Pursuits Ltd","PO Box 9673, Oban, Argyll","PA34 9AN","01631 720 002",hebpursuits@gmail.com,,www.hebrideanpursuits.co.uk,,"Canoeing
Kayaking
Abseiling
Camping
Hill and mountain walking
Orienteering
Ropes course
Gorge walking and scrambling
Coasteering
Climbing","56.5455292,-5.651972800000067"
"Highland Adventure Centre and Highland Adventure Activities","Highland Adventure, Knockshannoch, Glenisla","PH11 8PE","01575 582 238",jbsmuir@highlandadventure.co.uk,,"The majority of the activities that this provider offers fall outside the scope of the AALS regulations to Under 18's.  Council Establishments requiring specific activity guidance are advised to contact one of the council technical advisors",,"Team Building  
Archery  
Canoeing (over 18's only)
Kayaking  (over 18's only)
Raft Building (over 18's only)
Target Air Pistol (over 18's only)  
Trail Cycling  
Hillwalking  
Survival  
Wall Climb  
Tree Climb  
Abseiling  
Team Games","56.722547980135104,-3.2542545317382974"
"Kindrogan Field Centre",Enochdhu,"PH10 7PG","01475 530581",enquiries.sco@field-studies-council.org,,,"Kindrogan Field Centre (Field Studies Council)","Field Studies 
Low & High Ropes 
Hill Walking & Mountaineering","56.74658882433329,-3.52814915609747"
"Knockhill Racing Circuit Ltd.","Knockhill Racing Circuit, By Dunfermline, Fife","KY12 9TF","01383 723 337",,,,,"Karting Centre
Driving Experiences 
4 x 4 Centre
Skid Centre 
Passenger Thrill Rides 
Centre of Driving Excellence
Corporate packages","56.130154,-3.506075"
"Lagganlia Outdoor Centre","Kincraig, Kingussie, Inverness-shire","PH21 1NG","01540 651 265",info@lagganlia.com,,,"City of Edinburgh Council","Archery
Camping & Bothy Trips
Canoeing
Duke of Edinburgh Award
Field Studies
Gorge Walking
John Muir Award
Kayaking
Mountain Biking
Orienteering
Problem Solving
Rock Climbing & Abseiling
Sailing
Snow Sports:     Alpine Skiing                            
Snow Sports :    Nordic Skiing
Snow Sports:     Snow Boarding
Snow Sports:     Snow Fun (snow sculptures, igloo building etc)
Summer Hill Walking & Mountaineering
White Water Rafting
Winter Mountaineering Skills","57.109785,-3.967944"
"Landmark Forest Adventure Park","Main Street, Carrbridge, Inverness-shire","PH23 3AJ","01479 841 613",info@landmarkpark.co.uk,,,"Visitor Centres Ltd","Climbing wall 
Ropes courses 
Water coaster 
Parachute jump 
Treetop trail 
Viewing tower","57.297996,-3.770167"
"Lecht Ski School Ltd","Lecht Ski Centre, Corgarff, Strathdon, Aberdeenshire","AB36 8YP","01975 651 412",school@lecht.co.uk,,www.lecht.co.uk,,"Ski/Snow Board Instruction","57.20094,-3.247672"
"Lendrick Muir","Rumbling Bridge, Kinross","KY13 0QA","01577 842 000",lmoffice@suscotland.org.uk,,,"Scripture Union Scotland","Archery  
Beach volleyball 
Bouldering on artificial structures
Bungee trampolines
Bush craft
Climbing team challenges
Crates  
Disc golf 
High and low ropes 
Improvised raft building
Inflatables  
King swing
Mountain biking  
Nature trail
Open canoeing
Orienteering  
Play park  
Walk to Rumbling Bridge gorge
Tree climb","56.18617196721138,-3.5754627513427977"
"Loaningdale Centre (Scottish Outdoor Education Centres)","Carwood Road, Biggar, Lanarkshire","ML12 6LX","01899 221 115",loaningdale@soec.org.uk,,"06/03/13 Centre currently not in operation","Scottish Outdoor Education Centres","Abseiling  
Gorge Scrambling  
Hill walking  
Mountaineering  
Kayaking   
Open Canoeing  
Rock Climbing  
Mountaineering Ropes course 
Treeclimb 
Canoeing 
Crate climb 
Flying fox 
Archery
Cat walk 
Expedition Gorge walk 
Mohawk walk 
Raft building 
Problem solving
Ice breakers
Nightline Pathfinder 
Bonfire","55.626906,-3.525119"
"Loch Insh Outdoor Centre","Kincraig, Inverness-shire","PH21 1NU","01540 651 272",office@lochinsh.co.uk,,,"Cairngorm Canoeing & Sailing School Ltd","Archery  
Biking  
Canoeing  
Fishing  
Interpretive tour boat
Sailing  
Kayaking  
Orienteering  
Paddle boarding and jumbo team paddle boarding
Problem solving  
Skiing  
Snowboarding
Walking  
Wildlife
Windsurfing  

","57.11688177074193,-3.9207451583862394"
"Loch Morlich Watersports","Glenmore Forest Park, Aviemore, Invernesshire","PH22 1QU","01479 861 221",office@lochmorlich.com,,www.lochmorlich.com,,"Beach games
Canoeing  
Kayaking  
Low-level walking  
Mountain biking
Off-road cycling
Orienteering  
Sailing  
Stand up paddle 
Team-building activities 
Windsurfing","57.16754057368232,-3.7021903483275764"
"Lochgoilhead Activity Centre","Lochgoilhead, Argyll, PA24 8AQ","PA24 8AQ","01301 703 217",info@lochgoilhead.org.uk,,,"The Scout Association","Sailing 
Canoeing 
Kayaking 
Abseiling and rock climbing
Climbing wall
Jacobs ladder
Mountain biking
Team building
Bell boating 
Power boating 
Raft building 
Hill walking
Archery
High ropes
Bushcraft
Orienteering","56.170984,-4.901162"
"Lochore Meadows Outdoor Education Centre","Crosshill, Lochgelly, Fife","KY5 8BD","01592 583 388","info.outdoored@fife.gov.uk    ",,www.fifedirect.org.uk/outdooreducation,,"Abseiling
Archery
Improvised rafting
Kayaking
Open canoeing
Rock climbing
Sailing
Sea level traversing
Gorge walking
Hillwalking & mountaineering
Off-road cycling
Orienteering
Team building","56.150424,-3.3371984999999995"
"Low Port Centre","1 Blackness Road, Linlithgow, West Lothian","EH49 7HZ","01506 284400",lowport.centre@westlothian.gov.uk,,,"West Lothian Council","Sailing
Archery
Mountain Biking
Environmental Studies  
Windsurfing  
Kayaking (river & sea)  
Canoeing  
Rock climbing (indoor and outdoor)   
Hill wallking  
Off road biking  
Orienteering  
River rafting  
Skiing (residential or day)","55.977665,-3.597184"
